OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS019,FMR HASLINGDEN POLICE STATION,-2.32278,53.7024,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,not owned by a public authority,permissioned,full planning permission,03/10/2016,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQFS00DT02X,yes,,,,2017/0221 - Section 73 application to vary conditions 4 (construction method statement) and 5 (off-site highway works) pursuant to Planning Approval 2016/0320,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS020,"LAND OFF LEES ST, BRITANNIA",-2.18283,53.6919,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,permissioned,reserved matters approval,30/11/2006,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZWVNDJV796,yes,,,,2006/393 (Reserved Matters) ; 2006/0189.  Houses still awaiting completion.,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS022,"1 LABURNUM STREET, HASLINGDEN",-2.3284,53.7062,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.04,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXANDJV096,,,,,Outline permission (2012/0096) expired.,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS024,"BOLTON AND CARR MILLS, COWPE",-2.250402,53.690263,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.22,not owned by a public authority,not permissioned,,,,,,,,Identified as a potential allocation but no planning history.,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS028,"GLEN MILL, STACKSTEADS",-2.2407,53.6909,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.18,not owned by a public authority,permissioned,outline planning permission,01/03/2018,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMX8STNDGNP00,yes,,,,2017/0130,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS029,"GREENBRIDGE MILL, RAWTENSTALL",-2.27883,53.6997,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.24,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZWWNDJV227,,29,64,,Identified as a potential allocation but no planning history.,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS030,"KNOTT MILL WORKS, MILLAR BARN LANE, WATERFOOT",-2.25074,53.6928,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.06,not owned by a public authority,not permissioned,,,,,,,,Identified as a potential allocation but no planning history.,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS031,"LAND AT ASHWORTH ROAD, PIERCY (Former Gordon Works)",-2.25017,53.7031,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,permissioned,full planning permission,15/11/2016,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODK4P8NDFZ100,yes,,,,2016/0440,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS032,"LAND AT BLACKWOOD ROAD, STACKSTEADS",-2.23073,53.6884,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.23,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXBNDJV233,,,,,2011/0548 - Permission expired.,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS034,"MAGISTRATES COURT, RAWTENSTALL",-2.29152,53.7003,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.03,not owned by a public authority,permissioned,full planning permission,16/10/2014,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5XRCBNDKLH00,yes,,,,Under construction,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS035,"OLD MARKET HALL, BACUP",-2.20192,53.7021,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXCNDJV042,,,,,"2010/0101, 2009/0562",15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS037,REEDSHOLME WORKS,-2.2899,53.7176,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,3.24,not owned by a public authority,pending decision,,,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQT100DT035,yes,,,,2016/0267 - Outline approved,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS038,"WATERSIDE MILL, BACUP",-2.20301,53.7056,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.17,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZX0NDJV060,,,,,2000/299 - Conversion of mill to 16 no self contained flats,15/12/2017,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS039,"LAND ADJ 444 NEWCHURCH ROAD, STACKSTEADS",-2.229145,53.691275,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.09,not owned by a public authority,permissioned,full planning permission,26/04/2010,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZXBNDJV605&activeTab=summary,,,,,2010/0123 - extant planning permission,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS040,"LAND TO SIDE AND REAR OF PETROL STATION, MANCHESTER ROAD",-2.318415,53.700799,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,not permissioned,,,,,,,,2004/877,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS041,"SPINNING POINT, RAWTENSTALL",-2.283841,53.701429,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.88,mixed ownership,permissioned,full planning permission,27/03/2018,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N44CH7ND01A00,yes,,,,2017/0617,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS042,"CEDAR WORKS, MILLAR BARN LANE, WATERFOOT",-2.249848,53.692644,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,permissioned,outline planning permission,12/09/2016,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQR300DT01R,,,,,2016-0306,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS043,"WEIR HOTEL, BURNLEY ROAD",-2.196664,53.72274,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.18,unknown ownership,permissioned,full planning permission,28/02/2018,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQDJ00DT02I,yes,,,,2017-0640,14/12/2018,14/12/2018,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS044,BREARLEY ST GARAGE SITE,-2.216789,53.693547,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,mixed ownership,not permissioned,,,,,,,,,14/12/2018,14/12/2018,
