OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS024,"BOLTON AND CARR MILLS, COWPE",-2.250402,53.690263,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.22,not owned by a public authority,not permissioned,,,,,,,,Identified as a potential allocation but no planning history.,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS028,"GLEN MILL, STACKSTEADS",-2.240700,53.690900,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.18,not owned by a public authority,permissioned,outline planning permission,2018-03-01,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMX8STNDGNP00,yes,,,,2017/0130,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS029,"GREENBRIDGE MILL, RAWTENSTALL",-2.278830,53.699700,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.24,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZWWNDJV227,,29,64,,Identified as a potential allocation but no planning history.,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS030,"KNOTT MILL WORKS, MILLAR BARN LANE, WATERFOOT",-2.250740,53.692800,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.06,not owned by a public authority,not permissioned,,,,,,,,Identified as a potential allocation but no planning history.,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS031,"LAND AT ASHWORTH ROAD, PIERCY (Former Gordon Works)",-2.250170,53.703100,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.07,not owned by a public authority,permissioned,full planning permission,2016-11-15,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODK4P8NDFZ100,yes,,,,2016/0440,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS032,"LAND AT BLACKWOOD ROAD, STACKSTEADS",-2.230730,53.688400,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,1.23,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXBNDJV233,,,,,2011/0548 - Permission expired.,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS034,"MAGISTRATES COURT, RAWTENSTALL",-2.291520,53.700300,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.03,not owned by a public authority,permissioned,full planning permission,2014-10-16,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5XRCBNDKLH00,yes,,,,Under construction,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS035,"OLD MARKET HALL, BACUP",-2.201920,53.702100,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZXCNDJV042,,,,,"2010/0101, 2009/0562",2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS037,REEDSHOLME WORKS,-2.289900,53.717600,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,3.24,not owned by a public authority,pending decision,,,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQT100DT035,yes,,,,2016/0267 - Outline approved,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS038,"WATERSIDE MILL, BACUP",-2.203010,53.705600,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.17,not owned by a public authority,not permissioned,,,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZX0NDJV060,,,,,2000/299 - Conversion of mill to 16 no self contained flats,2017-12-15,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS039,"LAND ADJ 444 NEWCHURCH ROAD, STACKSTEADS",-2.229145,53.691275,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.09,not owned by a public authority,permissioned,full planning permission,2010-04-26,https://publicaccess.rossendale.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZXBNDJV605&activeTab=summary,,,,,2010/0123 - extant planning permission,2018-12-14,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS040,"LAND TO SIDE AND REAR OF PETROL STATION, MANCHESTER ROAD",-2.318415,53.700799,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,not permissioned,,,,,,,,2004/877,2018-12-14,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS041,"SPINNING POINT, RAWTENSTALL",-2.283841,53.701429,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.88,mixed ownership,permissioned,full planning permission,2018-03-27,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N44CH7ND01A00,yes,,,,2017/0617,2018-12-14,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS042,"CEDAR WORKS, MILLAR BARN LANE, WATERFOOT",-2.249848,53.692644,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.16,not owned by a public authority,permissioned,outline planning permission,2016-09-12,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQR300DT01R,,,,,2016-0306,2018-12-14,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS043,"WEIR HOTEL, BURNLEY ROAD",-2.196664,53.722740,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.18,unknown ownership,permissioned,full planning permission,2018-02-28,https://publicaccess.rossendale.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJLQDJ00DT02I,yes,,,,2017-0640,2018-12-14,2018-12-14,
http://opendatacommunities.org/id/district-council/rossendale,Rossendale Borough Council,ROSBS044,BREARLEY ST GARAGE SITE,-2.216789,53.693547,https://www.rossendale.gov.uk/downloads/download/10897/brownfield_register,0.13,mixed ownership,not permissioned,,,,,,,,,2018-12-14,2018-12-14,
